X,Y,OBJECTID,Year,SiteYearID,SiteID,SampleDate,Dry_rating,DensTtl,Dens_A1,Dens_A2,Dens_S1,Dens_S2,Sp_Sthd,Sp_SthdRT,Sp_Coho,Sp_Cst_Sculp,Sp_Prk_Sculp,Sp_Rif_Sculp,Sp_Sa_Suck,Sp_Ca_Rch,Sp_Stick,Sp_Lamp,Sp_Dace,Sp_Bl_Gill,Sp_HCH,Sp_T_goby,Sp_A_goby,Sp_YF_goby,Sp_MQF,SP_BayPF,Sp_Stag_Scul,Sp_Str_Flo,Sp_Tp_Smlt,Sp_Shin_SP,Sp_Pac_Herr,Sp_Gi_Sal,Sp_Ywl_Fg,Sp_Rd_Fg,Sp_Bl_Fg,Sp_Ca_Nwt,Sp_Rgh_Nwt,Sp_NWT,Sp_Sln_Sal,Sp_Ws_Turt,Sp_Brwn_Trt,Sp_Pike_Minw,Sp_Gld_Shin,Sp_Grn_SF,Sp_LM_Bass,Sp_Gld_Fish,Sp_Stp_Mull,SiteSort,Watershed,YearLabel,GlobalID,Sp_Dwarf_SP,Sp_CbznScp,LJ_Mudsucker,DiamondTurbot,CalHalibut
-122.064113991,37.0507919900001,929,1981,1981-SLR-zayt-13a,SLR-zayt-13a,1981/10/01 00:00:00+00,1,40.9,,,35.5,5.4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,SLR,1981,{435BD725-B488-4370-8CBA-744F71419AFC},,,,,
-122.033608692,37.0565846970001,930,1981,1981-SLR-bean-14b,SLR-bean-14b,1981/10/01 00:00:00+00,1,62.5,,,55.2,7.3,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,SLR,1981,{F3BA9167-445A-48B4-ABAF-050D34DC68B6},,,,,
-122.086105512,37.051597503,931,1981,1981-SLR-fall-15b,SLR-fall-15b,1981/10/01 00:00:00+00,1,35.7,,,18.2,17.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,SLR,1981,{E5D81C3F-E370-40BE-8F8B-F2B84847AA32},,,,,
-122.076741114,37.087103074,932,1981,1981-SLR-newl-16,SLR-newl-16,1981/10/01 00:00:00+00,1,41.6,,,32.4,9.2,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29,SLR,1981,{C448E2DA-8C6C-4EEC-A5A8-84A2DF9D690F},,,,,
-122.125304156,37.1256215980001,933,1981,1981-SLR-bldr-17a,SLR-bldr-17a,1981/10/01 00:00:00+00,1,48.5,,,28.9,19.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,SLR,1981,{21440A13-29AB-4EBD-B384-4C05EED7FCBE},,,,,
-122.154435315,37.1432024330001,934,1981,1981-SLR-bldr-17c,SLR-bldr-17c,1981/10/01 00:00:00+00,1,14.9,,,4,10.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,SLR,1981,{73DE7955-ACB1-4B78-925C-0BFF5685DE2B},,,,,
-122.099639806,37.136301867,935,1981,1981-SLR-bear-18a,SLR-bear-18a,1981/10/01 00:00:00+00,1,9.8,,,4.9,4.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,SLR,1981,{4B677C8D-50D5-4804-ADC7-BD1BFCFF6415},,,,,
-122.119667942,37.177750028,936,1981,1981-SLR-king-19b,SLR-king-19b,1981/10/01 00:00:00+00,1,46.2,,,36.2,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,SLR,1981,{8EE9BDF3-C726-4CDB-AA90-DE263BCFF5F0},,,,,
-121.904790597,36.977544429,937,1981,1981-APT-apto-3,APT-apto-3,1981/10/01 00:00:00+00,1,35.2,24.4,10.8,24.4,10.8,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,APT,1981,{56AC7805-6ABB-438C-B259-0C2E5FC1CEDE},,,,,
-121.904908523,37.0040812180001,938,1981,1981-APT-apto-4,APT-apto-4,1981/10/01 00:00:00+00,1,43,37.1,5.9,37.1,5.9,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,APT,1981,{7A046272-AA8F-4868-B98D-C07B70C499A5},,,,,
-121.867336253,36.995961304,939,1981,1981-APT-vale-2,APT-vale-2,1981/10/01 00:00:00+00,1,33.1,16.6,16.5,16.6,16.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,APT,1981,{C68FC915-A757-46AF-850F-D2EA1D89389C},,,,,
-121.868488916,36.997991518,940,1981,1981-APT-vale-3,APT-vale-3,1981/10/01 00:00:00+00,1,29.8,16.6,13.2,16.6,13.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,APT,1981,{6CC5E84C-CE12-4CDE-A81D-8CB01F0CFEF1},,,,,
-121.791038564,37.0151729840001,941,1981,1981-PAJ-brwn-1,PAJ-brwn-1,1981/10/01 00:00:00+00,1,54.3,26.9,27.4,26.9,27.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,70,PAJ,1981,{D761E106-A345-4FCF-B60C-69B24AC07408},,,,,
-121.783006183,37.0233560770001,942,1981,1981-PAJ-brwn-2,PAJ-brwn-2,1981/10/01 00:00:00+00,1,71.6,66.1,5.5,66.1,5.5,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,PAJ,1981,{E4217C05-40F2-4B8E-B032-440499BCE16E},,,,,
-121.805786259,37.002308719,943,1981,1981-PAJ-corr-1,PAJ-corr-1,1981/10/01 00:00:00+00,1,33.9,30.8,3.1,30.8,3.1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,74,PAJ,1981,{823A9CB7-19A1-43FD-8E1A-E515E281323B},,,,,
-121.811958078,37.01029644,944,1981,1981-PAJ-corr-3,PAJ-corr-3,1981/10/01 00:00:00+00,1,39.1,33.9,5.2,33.9,5.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,PAJ,1981,{6E21C513-0471-4F3C-B54F-347092F6E8D9},,,,,
-121.820286996,37.0324297070001,945,1981,1981-PAJ-corr-8,PAJ-corr-8,1981/10/01 00:00:00+00,1,81.9,59.7,22.2,59.7,22.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,PAJ,1981,{73FF50B0-3B22-4256-9421-C4B896CA65F7},,,,,
-121.818347605,37.0407985520001,946,1981,1981-PAJ-corr-9,PAJ-corr-9,1981/10/01 00:00:00+00,1,86.1,55.8,30.3,55.8,30.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,PAJ,1981,{29801FEC-CDD2-4C02-AB70-271CA2F69362},,,,,
-121.813938943,37.044906129,947,1981,1981-PAJ-shng-1,PAJ-shng-1,1981/10/01 00:00:00+00,1,24.5,14.3,10.2,14.3,10.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,78,PAJ,1981,{891D9820-200C-4F41-9B34-BB2D7B8B267D},,,,,
-121.79955491,37.0444024060001,948,1981,1981-PAJ-shng-3,PAJ-shng-3,1981/10/01 00:00:00+00,1,32.6,18.6,14,18.6,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,79,PAJ,1981,{CD420996-31B6-4FF9-A47A-0787A29CF72E},,,,,
-122.04126841,37.006613874,949,1994,1994-SLR-main-1,SLR-main-1,1994/10/01 00:00:00+00,1,10.8,,,1.9,8.9,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,SLR,1994,{84AECA9A-9977-4F75-AA5D-6EA44CFCBCE6},,,,,
-122.057697871,37.0245636000001,950,1994,1994-SLR-main-3,SLR-main-3,1994/10/01 00:00:00+00,1,136.5,,,72,64.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,SLR,1994,{B3D425AF-6AF1-4C10-96B8-01D75BD03951},,,,,
-122.070912499,37.0421101540001,951,1994,1994-SLR-main-4,SLR-main-4,1994/10/01 00:00:00+00,1,56.7,,,34.8,21.9,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,SLR,1994,{6DFD17CD-1F9B-4CF7-9B85-02F68440C8C3},,,,,
-122.074860162,37.0568439360001,952,1994,1994-SLR-main-6,SLR-main-6,1994/10/01 00:00:00+00,1,60.1,,,54.1,6,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,SLR,1994,{469C2B8B-10C7-4C9D-9721-F23AE38C003C},,,,,
-122.089860132,37.0883095230001,953,1994,1994-SLR-main-7,SLR-main-7,1994/10/01 00:00:00+00,1,35.1,,,12.4,22.7,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,SLR,1994,{58495BCF-758D-44B8-83A8-EB69944DC0D0},,,,,
-122.104038011,37.106837592,954,1994,1994-SLR-main-8,SLR-main-8,1994/10/01 00:00:00+00,1,32.5,,,22.5,10,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,SLR,1994,{D50FFA2A-8A54-4E11-BEB1-E7D7D32CC1F6},,,,,
-122.119096786,37.1206429900001,955,1994,1994-SLR-main-9,SLR-main-9,1994/10/01 00:00:00+00,1,33.2,,,15.7,17.5,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,SLR,1994,{A4BB51CA-36A8-4C64-AFCA-564D5EE48E7A},,,,,
-122.134448816,37.1542364410001,956,1994,1994-SLR-main-10,SLR-main-10,1994/10/01 00:00:00+00,1,11.3,3.1,8.2,3.1,8.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,SLR,1994,{C8AD6EE5-E76E-41E8-9B95-B9FC3CA32016},,,,,
-122.138880615,37.173365743,957,1994,1994-SLR-main-11,SLR-main-11,1994/10/01 00:00:00+00,1,10.8,2.5,8.3,2.5,8.3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,SLR,1994,{AA315061-FBBF-4D63-8E88-8B16D149A081},,,,,
-122.147415892,37.200855007,958,1994,1994-SLR-main-12a,SLR-main-12a,1994/10/01 00:00:00+00,1,11.3,1.3,10,1.3,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,SLR,1994,{BFDCF3FC-ADAA-442A-9240-A265206FDB40},,,,,
-122.064113991,37.0507919900001,959,1994,1994-SLR-zayt-13a,SLR-zayt-13a,1994/10/01 00:00:00+00,1,37.9,31.3,6.6,31.3,6.6,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,SLR,1994,{2EE82D2A-9BF6-450F-A382-262A8B58E2C1},,,,,
-122.033608692,37.0565846970001,960,1994,1994-SLR-bean-14b,SLR-bean-14b,1994/10/01 00:00:00+00,1,24.2,13.9,10.3,13.9,10.3,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,SLR,1994,{6B4AAE37-2118-4580-9428-7D6D8292A865},,,,,
-122.086105512,37.051597503,961,1994,1994-SLR-fall-15,SLR-fall-15b,1994/10/01 00:00:00+00,1,37.4,22.2,15.2,22.2,15.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,SLR,1994,{E42784A4-9C57-462D-80E3-C93CAC607074},,,,,
-122.076741114,37.087103074,962,1994,1994-SLR-newl-16,SLR-newl-16,1994/10/01 00:00:00+00,1,20,4.8,15.2,4.8,15.2,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29,SLR,1994,{11D45025-625C-4275-8487-123E7FA3F022},,,,,
-122.125304156,37.1256215980001,963,1994,1994-SLR-bldr-17a,SLR-bldr-17a,1994/10/01 00:00:00+00,1,42.3,22,20.3,22,20.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,SLR,1994,{DB3321B5-7A47-4D63-9777-BFFD436EF5C8},,,,,
-122.154435315,37.1432024330001,964,1994,1994-SLR-bldr-17c,SLR-bldr-17c,1994/10/01 00:00:00+00,1,30.2,16.6,13.6,16.6,13.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,SLR,1994,{17E85F21-D738-497E-BFED-4FCF0B52EB85},,,,,
-122.099639806,37.136301867,965,1994,1994-SLR-bear-18a,SLR-bear-18a,1994/10/01 00:00:00+00,1,20.1,7.8,12.3,7.8,12.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,SLR,1994,{E1C2D23F-D7CD-41C4-B51C-8F8823F23EAF},,,,,
-122.119667942,37.177750028,966,1994,1994-SLR-king-19b,SLR-king-19b,1994/10/01 00:00:00+00,1,23.5,9.8,13.7,9.8,13.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,SLR,1994,{004F67CD-B8A1-47E8-BA03-8A4D02203CD7},,,,,
-121.95568998,36.9913217530001,967,1994,1994-SOQ-main-2,SOQ-main-2,1994/10/01 00:00:00+00,1,13,6,7,6,7,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,SOQ,1994,{FA1F50F3-54DD-434F-AAD4-1C59A36ECD28},,,,,
-121.951673601,37.0067815310001,968,1994,1994-SOQ-main-5,SOQ-main-5,1994/10/01 00:00:00+00,1,32.1,27.2,4.9,27.2,4.9,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,SOQ,1994,{BFD0C6F0-E948-43CA-B384-DEB290A6B5CF},,,,,
-121.947677056,37.016148403,969,1994,1994-SOQ-main-7,SOQ-main-7,1994/10/01 00:00:00+00,1,31.9,26.6,5.3,26.6,5.3,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,SOQ,1994,{AD8763E8-9CBB-4B03-BEF1-E9ADE85C24D6},,,,,
-121.946313581,37.0191695410001,970,1994,1994-SOQ-main-8,SOQ-main-8,1994/10/01 00:00:00+00,1,105,81,24,81,24,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,SOQ,1994,{CE6BE0EA-E091-42BA-B4E1-B2885627FAEF},,,,,
-121.946918149,37.0251513910001,971,1994,1994-SOQ-main-9,SOQ-main-9,1994/10/01 00:00:00+00,1,15.9,13.7,2.2,13.7,2.2,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,SOQ,1994,{8F3F8C2B-BD7A-45D6-A5A8-A875B89D772B},,,,,
-121.941414443,37.032375244,972,1994,1994-SOQ-main-10,SOQ-main-10,1994/10/01 00:00:00+00,1,53.5,39.7,13.8,39.7,13.8,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,SOQ,1994,{CA7D7984-806C-4A3C-9243-D2A216DB104C},,,,,
-121.942020396,37.041043158,973,1994,1994-SOQ-main-12,SOQ-main-12,1994/10/01 00:00:00+00,1,88.1,57.5,30.6,57.5,30.6,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,SOQ,1994,{49FE9C3D-51B6-4BA0-B62C-F61210835197},,,,,
-121.928686622,37.0476689430001,974,1994,1994-SOQ-east-13a,SOQ-east-13a,1994/10/01 00:00:00+00,1,40.2,28.3,11.9,28.3,11.9,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,SOQ,1994,{1888EFB3-AC52-42FA-847C-F5188209FB62},,,,,
-121.923258958,37.0571134740001,975,1994,1994-SOQ-east-14,SOQ-east-14,1994/10/01 00:00:00+00,1,45.7,24.2,21.5,24.3,21.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,SOQ,1994,{31B7F820-EFA2-4EDA-842A-FAE2377B1FA2},,,,,
-121.791038564,37.0151729840001,976,1994,1994-PAJ-brwn-1,PAJ-brwn-1,1994/10/01 00:00:00+00,1,22.5,7,15.5,7,15.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,PAJ,1994,{4FEB7C5F-5EE3-422B-9B9B-6258462940C7},,,,,
-121.783006183,37.0233560770001,977,1994,1994-PAJ-brwn-2,PAJ-brwn-2,1994/10/01 00:00:00+00,1,18.5,12.8,7.7,12.8,7.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,PAJ,1994,{44668733-8BDB-4B65-B27E-C91B9E4DA51E},,,,,
-121.811958078,37.01029644,978,1994,1994-PAJ-corr-3,PAJ-corr-3,1994/10/01 00:00:00+00,1,18.6,10.2,8.4,10.2,8.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,PAJ,1994,{366B8E7B-3600-4921-8A31-708FF5279014},,,,,
-121.820286996,37.0324297070001,979,1994,1994-PAJ-corr-8,PAJ-corr-8,1994/10/01 00:00:00+00,1,28.6,14.3,14.3,14.3,14.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,PAJ,1994,{8C7ED9CC-43C5-461A-9A65-B556C13C1A7E},,,,,
-121.818347605,37.0407985520001,980,1994,1994-PAJ-corr-9,PAJ-corr-9,1994/10/01 00:00:00+00,1,29.9,16.7,13.2,16.7,13.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,PAJ,1994,{1E6FA633-F5AE-4628-BFB1-DD5F3EE9F750},,,,,
-121.813938943,37.044906129,981,1994,1994-PAJ-shng-1,PAJ-shng-1,1994/10/01 00:00:00+00,1,30,24.3,24.3,5.7,24.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,PAJ,1994,{12919D29-2AA9-4867-BF0D-ACE277FA05CC},,,,,
-122.04126841,37.006613874,982,1995,1995-SLR-main-1,SLR-main-1,1995/10/01 00:00:00+00,1,63.7,,,0,63.7,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,SLR,1995,{F62D4333-7CE1-4CFF-BA8E-C65672A42DEE},,,,,
-122.057697871,37.0245636000001,983,1995,1995-SLR-main-3,SLR-main-3,1995/10/01 00:00:00+00,1,78.7,,,22.8,55.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,SLR,1995,{74D03B07-A048-4571-A1D2-3BD63496BD58},,,,,
